SortIt,ImageNo,ImageName,folder,Site,SiteNo,Side,SideNo,Date,Time,LFC,LFCC,DF,Pelicans,Grebes,Cormorant,Percent.Obstructed,Exposure,Image.Clarity,Water.Clarity,Month,Day,Year,Time,Date.Time,Discharge.cms,Velocity.m.s,Argo.Depth.m,Logger.Depth.m,Logger.Temp.C,DucksUnlimited.Temp,Camera.Height.cm,width.m,height.m,Area.m.sq,Correction.factor,LFCCR
1265,1918,IMG_1341,100RECNX,Waterhen,1,Lake,1,29/05/2014,10:00:00,23,23,0,0,0,0,0,2,1,3,29,5,2014,10:00:00,29/05/2014 10:00,0.394,0.023,2.927,1.048,14.871,15.3,3.11337235,2.407664239,1.805755963,4.347654057,1.0112,23
1266,1919,IMG_1342,100RECNX,Waterhen,1,Lake,1,29/05/2014,10:15:00,14,14,0,0,0,0,0,2,1,3,29,5,2014,10:15:00,29/05/2014 10:15,2.57,0.031,2.927,1.053,14.878,15.4,3.11337235,2.407664239,1.805755963,4.347654057,1.0112,14
1267,1920,IMG_1343,100RECNX,Waterhen,1,Lake,1,29/05/2014,10:30:00,3,3,0,0,0,0,0,2,1,3,29,5,2014,10:30:00,29/05/2014 10:30,3.779,0.02,2.927,1.054,14.943,15.4,3.11337235,2.407664239,1.805755963,4.347654057,1.0112,3
1268,1921,IMG_1344,100RECNX,Waterhen,1,Lake,1,29/05/2014,10:45:00,10,10,0,0,0,0,0,2,1,3,29,5,2014,10:45:00,29/05/2014 10:45,3.345,0.013,2.926,1.054,14.954,15.4,3.1143343,2.408408144,1.806313894,4.350341093,1.0105,10
1269,1922,IMG_1345,100RECNX,Waterhen,1,Lake,1,29/05/2014,11:00:00,7,7,0,0,0,0,0,2,1,3,29,5,2014,11:00:00,29/05/2014 11:00,2.372,0.025,2.926,1.054,14.84,15.5,3.1143343,2.408408144,1.806313894,4.350341093,1.0105,7
1270,1923,IMG_1346,100RECNX,Waterhen,1,Lake,1,29/05/2014,11:15:00,22,22,0,0,0,0,0,2,1,3,29,5,2014,11:15:00,29/05/2014 11:15,1.703,0.066,2.931,1.062,14.707,15.5,3.10952455,2.40468862,1.803524239,4.336914214,1.0137,22
1271,1924,IMG_1347,100RECNX,Waterhen,1,Lake,1,29/05/2014,11:30:00,10,10,0,0,0,0,0,2,1,3,29,5,2014,11:30:00,29/05/2014 11:30,1.577,0.088,2.931,1.063,14.644,15.4,3.10952455,2.40468862,1.803524239,4.336914214,1.0137,10
1272,1925,IMG_1348,100RECNX,Waterhen,1,Lake,1,29/05/2014,11:45:00,9,9,0,0,0,0,0,2,1,3,29,5,2014,11:45:00,29/05/2014 11:45,2.15,0.08,2.929,1.065,14.676,15.5,3.11144845,2.40617643,1.804640101,4.342282475,1.0124,9
1273,1926,IMG_1349,100RECNX,Waterhen,1,Lake,1,29/05/2014,12:00:00,10,10,0,0,0,0,0,2,1,3,29,5,2014,12:00:00,29/05/2014 12:00,1.575,0.062,2.924,1.065,14.737,15.6,3.1162582,2.409895954,1.807429756,4.355717656,1.0093,10
1274,1927,IMG_1350,100RECNX,Waterhen,1,Lake,1,29/05/2014,12:15:00,19,19,0,0,0,0,0,2,1,3,29,5,2014,12:15:00,29/05/2014 12:15,0.959,0.05,2.924,1.06,14.563,15.6,3.1162582,2.409895954,1.807429756,4.355717656,1.0093,19
1275,1928,IMG_1351,100RECNX,Waterhen,1,Lake,1,29/05/2014,12:30:00,22,22,0,0,0,0,0,2,2,3,29,5,2014,12:30:00,29/05/2014 12:30,0.073,0.047,2.931,1.061,14.386,15.6,3.10952455,2.40468862,1.803524239,4.336914214,1.0137,22
1276,1929,IMG_1352,100RECNX,Waterhen,1,Lake,1,29/05/2014,12:45:00,13,13.74,0,0,0,0,5.7,2,2,3,29,5,2014,12:45:00,29/05/2014 12:45,0.451,0.058,2.937,1.065,14.451,15.6,3.10375285,2.400225191,1.800176653,4.320829352,1.0174,14
1277,1930,IMG_1353,100RECNX,Waterhen,1,Lake,1,29/05/2014,13:00:00,20,21.7,0,0,0,0,8.5,2,1,3,29,5,2014,13:00:00,29/05/2014 13:00,0.725,0.047,2.929,1.064,14.556,15.6,3.11144845,2.40617643,1.804640101,4.342282475,1.0124,22
1278,1931,IMG_1354,100RECNX,Waterhen,1,Lake,1,29/05/2014,13:15:00,22,23.41,0,0,0,0,6.4,2,1,3,29,5,2014,13:15:00,29/05/2014 13:15,0.291,0.036,2.931,1.06,14.66,15.7,3.10952455,2.40468862,1.803524239,4.336914214,1.0137,24
1279,1932,IMG_1355,100RECNX,Waterhen,1,Lake,1,29/05/2014,13:30:00,22,23.78,0,0,0,0,8.1,2,1,2,29,5,2014,13:30:00,29/05/2014 13:30,-0.142,0.019,2.933,1.055,14.761,15.7,3.10760065,2.403200811,1.802408377,4.331549273,1.0149,24
1280,1933,IMG_1356,100RECNX,Waterhen,1,Lake,1,29/05/2014,13:45:00,30,30.6,0,0,0,0,2,2,1,2,29,5,2014,13:45:00,29/05/2014 13:45,-2.52,0.026,2.935,1.046,14.778,15.8,3.10567675,2.401713001,1.801292515,4.326187652,1.0162,31
1281,1934,IMG_1357,100RECNX,Waterhen,1,Lake,1,29/05/2014,14:00:00,44,46.55,0,0,0,0,5.8,2,1,1,29,5,2014,14:00:00,29/05/2014 14:00,-5.754,0.031,2.945,1.039,14.904,15.7,3.09605725,2.394273953,1.795713205,4.299429354,1.0225,48
1282,1935,IMG_1358,100RECNX,Waterhen,1,Lake,1,29/05/2014,14:15:00,54,59.24,0,0,0,0,9.7,2,1,1,29,5,2014,14:15:00,29/05/2014 14:15,-8.95,0.023,2.95,1.033,14.895,16.3,3.0912475,2.390554429,1.79292355,4.286081334,1.0257,61
1283,1936,IMG_1359,100RECNX,Waterhen,1,Lake,1,29/05/2014,14:30:00,30,30,0,0,0,0,0,2,2,3,29,5,2014,14:30:00,29/05/2014 14:30,-10.314,0.015,2.935,1.045,14.914,15.9,3.10567675,2.401713001,1.801292515,4.326187652,1.0162,30
1284,1937,IMG_1360,100RECNX,Waterhen,1,Lake,1,29/05/2014,14:45:00,37,39.44,0,0,0,0,6.6,2,2,2,29,5,2014,14:45:00,29/05/2014 14:45,-10.471,-0.029,2.94,1.039,15.085,15.8,3.100867,2.397993477,1.79850286,4.312798127,1.0193,40
1285,1938,IMG_1361,100RECNX,Waterhen,1,Lake,1,29/05/2014,15:00:00,35,37.42,0,0,0,0,6.9,2,2,1,29,5,2014,15:00:00,29/05/2014 15:00,-11.104,-0.089,2.938,1.037,15.246,15.8,3.1027909,2.399481287,1.799618722,4.318151447,1.0181,38
1286,1939,IMG_1362,100RECNX,Waterhen,1,Lake,1,29/05/2014,15:15:00,47,49.96,0,0,0,0,6.3,2,2,1,29,5,2014,15:15:00,29/05/2014 15:15,-10.568,-0.149,2.936,1.04,15.422,15.8,3.1047148,2.400969096,1.800734584,4.323508087,1.0168,51
1287,1940,IMG_1363,100RECNX,Waterhen,1,Lake,1,29/05/2014,15:30:00,53,54.11,0,0,0,0,2.1,2,1,1,29,5,2014,15:30:00,29/05/2014 15:30,-11.158,-0.173,2.942,1.041,15.613,16.3,3.0989431,2.396505668,1.797386998,4.307448127,1.0206,55
